,Week,Home Team,Away Team,Conference Game,Jackson Guess,Jameson Guess,Actual Line,Jackson Distance,Jameson Distance,Score
0,2,louisville,james madison,,-12,-15,-15,3,0,1
1,2,maryland,northern illinois,,-17,-18,-16,1,2,0
2,2,penn state,fiu,,-42,-44,-42,0,2,-1
3,2,texas tech,kent state,,-48,-49,-48,0,1,-2
4,2,nc state,virginia,ACC,-4,-3,-3,1,0,-1
5,2,texas,san jose state,,-38,-36,-36,2,0,0
6,2,jacksonville state,liberty,Conference USA,2,8,6,4,2,1
7,2,pittsburgh,central michigan,,-33,-23,-21,12,2,2
8,2,iowa state,iowa,,-3,-3,-3,0,0,2
9,2,syracuse,uconn,,-9,-10,-9,0,1,1
10,2,smu,baylor,,-6,-4,-4,2,0,2
11,2,duke,illinois,,3,3,2.5,0.5,0.5,2
12,2,indiana,kennesaw state,,-31,-34,-36,5,2,3
13,2,texas a&m,utah state,,-26,-31,-29.5,3.5,1.5,4
14,2,kentucky,ole miss,SEC,10,9,9,1,0,5
15,2,missouri,kansas,,-6,-6,-6.5,0.5,0.5,5
16,2,navy,uab,American,-11,-20,-19,8,1,6
17,2,western michigan,north texas,,3,pick,10,7,10,5
18,2,oregon state,fresno state,,-6,-5,-2,4,3,6
19,2,clemson,troy,,-36,-31,-32,4,1,7
20,2,rutgers,miami (oh),,-14,-15,-14,0,1,6
21,2,cincinnati,bowling green,,-18,-15,-18,0,3,5
22,2,oregon,oklahoma state,,-24,-23,-28,4,5,4
23,2,utsa,texas state,,2,-1,-5,7,4,5
24,2,colorado,delaware,,-30,-26,-23.5,6.5,2.5,6
25,2,wisconsin,middle tennessee,,-31,-28,-27,4,1,7
26,2,ohio,west virginia,,6,5,3,3,2,8
27,2,florida,south florida,,-21,-20,-19,2,1,9
28,2,hawaii,sam houston,,-3,-5,-10,7,5,10
29,2,marshall,missouri state,,-11,-10,-10,1,0,11
30,2,kansas state,army,,-13,-15,-15.5,2.5,0.5,12
31,2,georgia state,memphis,,8,11,14,6,3,13
32,2,south alabama,tulane,,7,14,10,3,4,12
33,2,toledo,western kentucky,,-4.5,-6,-5.5,1,0.5,13
34,2,rice,houston,,3,10,14,11,4,14
35,2,lsu,louisiana tech,,-36,-37,-38,2,1,15
36,2,michigan state,boston college,,-6,-6,-3,3,3,15
37,2,auburn,ball state,,-31,-35,-44,13,9,16
38,2,mississippi state,arizona state,,9,8,7,2,1,17
39,2,oklahoma,michigan,,-6,-2,-5.5,0.5,3.5,16
40,2,usc,georgia southern,,-27,-38,-28,1,10,15
41,2,alabama,louisiana-monroe,,-35,-35,-37,2,2,15
42,2,unlv,ucla,,8,2,2,6,0,16
43,2,new mexico state,tulsa,,-3,10,2,5,8,15
44,2,byu,stanford,,-16,-20,-19,3,1,16
45,2,washington state,san diego state,,-3,-5,-3.5,0.5,1.5,15